Type,East (km),North (km),Time (ms from UET)
Body,4.564,77.412,1.74E+11
Body,18.05,74.781,1.77E+11
Body,25.519,71.053,1.84E+11
Body,31.95,66.667,1.91E+11
Body,25.519,71.053,2.00E+11
Body,31.12,63.816,2.24E+11
Body,34.44,65.57,2.31E+11
Body,42.116,55.702,2.36E+11
Body,42.116,57.456,2.37E+11
Body,43.361,57.456,2.45E+11
Body,44.191,56.579,2.54E+11
Body,46.888,56.579,2.55E+11
Body,48.755,51.096,2.64E+11
Body,47.303,66.667,2.92E+11
Body,46.473,65.351,3.05E+11
Body,46.473,68.64,3.36E+11
Body,49.585,67.763,3.39E+11
Body,50.622,66.667,3.42E+11
Body,53.527,67.544,3.43E+11
Body,71.162,54.605,0
Body,85.062,5.482,0
Home,32.365,55.482,
